OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,PrimeDelivery,WarehouseLocation
AMA-429508,PID-2352,Laptop,Accessories,5,642.79,2023-01-01,CUST-6922,Taylor,customer714@example.com,+91-7003348191,"99 Street, City-67, State-20",2023-01-05,In Transit,Amazon,False,East
AMA-265568,PID-7347,Laptop,Electronics,10,988.35,2023-01-02,CUST-2012,Chris,customer76@example.com,+91-8606230464,"295 Street, City-88, State-24",2023-01-06,Delivered,Amazon,False,West
AMA-715756,PID-5270,Watch,Electronics,6,532.45,2023-01-03,CUST-7446,Chris,customer925@example.com,+91-7020522331,"281 Street, City-16, State-6",2023-01-07,Cancelled,Amazon,False,West
AMA-783599,PID-5701,Watch,Electronics,9,107.55,2023-01-04,CUST-3709,Taylor,customer432@example.com,+91-9798071203,"156 Street, City-19, State-7",2023-01-08,Cancelled,Amazon,True,North
AMA-650462,PID-5984,Headphones,Fashion,6,889.3,2023-01-05,CUST-3247,Taylor,customer983@example.com,+91-7281087886,"270 Street, City-96, State-9",2023-01-09,In Transit,Amazon,True,South
AMA-414135,PID-1304,Shoes,Books,5,620.2,2023-01-06,CUST-4522,Sam,customer221@example.com,+91-8053550298,"59 Street, City-26, State-9",2023-01-10,Cancelled,Amazon,True,West
AMA-365092,PID-3457,Watch,Books,1,329.09,2023-01-07,CUST-7264,Sam,customer136@example.com,+91-8246557514,"220 Street, City-62, State-21",2023-01-11,Cancelled,Amazon,False,East
AMA-589526,PID-5916,Phone,Fashion,8,239.95,2023-01-08,CUST-1291,Chris,customer996@example.com,+91-9697895442,"410 Street, City-94, State-28",2023-01-12,Delivered,Amazon,False,North
AMA-602037,PID-4811,Headphones,Fashion,1,270.1,2023-01-09,CUST-9916,Jane,customer496@example.com,+91-8265711137,"62 Street, City-40, State-18",2023-01-13,Cancelled,Amazon,True,East
AMA-502891,PID-3642,Book,Electronics,8,110.61,2023-01-10,CUST-7520,Alex,customer65@example.com,+91-9877359617,"188 Street, City-99, State-12",2023-01-14,Cancelled,Amazon,False,North
AMA-596435,PID-1048,Shoes,Electronics,2,833.77,2023-01-11,CUST-3290,Alex,customer820@example.com,+91-9102898518,"155 Street, City-83, State-7",2023-01-15,Cancelled,Amazon,False,East
AMA-338246,PID-8159,Headphones,Electronics,7,340.03,2023-01-12,CUST-8935,Chris,customer651@example.com,+91-7522825206,"306 Street, City-25, State-21",2023-01-16,Cancelled,Amazon,True,North
AMA-817990,PID-2336,Headphones,Electronics,3,933.65,2023-01-13,CUST-8170,Chris,customer407@example.com,+91-8637355093,"293 Street, City-20, State-19",2023-01-17,Cancelled,Amazon,False,East
AMA-179477,PID-3098,Shoes,Books,1,518.3,2023-01-14,CUST-5079,Jane,customer689@example.com,+91-8566139946,"315 Street, City-30, State-25",2023-01-18,In Transit,Amazon,False,West
AMA-161999,PID-6002,Shoes,Fashion,9,289.97,2023-01-15,CUST-9067,Jane,customer419@example.com,+91-9118468711,"111 Street, City-77, State-8",2023-01-19,Delivered,Amazon,False,South
AMA-893836,PID-8770,Watch,Electronics,8,298.09,2023-01-16,CUST-7953,Alex,customer871@example.com,+91-9590812974,"428 Street, City-36, State-15",2023-01-20,Cancelled,Amazon,True,East
AMA-286178,PID-3905,Headphones,Books,8,575.15,2023-01-17,CUST-4895,Alex,customer452@example.com,+91-8606994577,"284 Street, City-85, State-11",2023-01-21,In Transit,Amazon,True,South
AMA-731543,PID-6972,Watch,Fashion,5,635.62,2023-01-18,CUST-9800,Jane,customer676@example.com,+91-9010914936,"43 Street, City-71, State-6",2023-01-22,Delivered,Amazon,True,South
