OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,CouponUsed,ReturnWindow
FLI-434150,PID-9818,Shoes,Books,4,176.72,01-01-23,CUST-7788,John,customer822@example.com,-7328409133,"119 Street, City-34, State-1",05-01-23,Cancelled,Flipkart,TRUE,13
FLI-332427,PID-8503,Book,Electronics,8,199.78,02-01-23,CUST-1963,John,customer169@example.com,-8650429802,"225 Street, City-91, State-4",06-01-23,In Transit,Flipkart,TRUE,12
FLI-488224,PID-3199,Watch,Accessories,5,350.47,03-01-23,CUST-9820,Jane,customer723@example.com,-7029035187,"92 Street, City-26, State-24",07-01-23,In Transit,Flipkart,TRUE,13
FLI-920598,PID-4389,Book,Accessories,4,502.73,04-01-23,CUST-3737,Taylor,customer66@example.com,-9881758946,"8 Street, City-18, State-25",08-01-23,Delivered,Flipkart,TRUE,14
FLI-311726,PID-4427,Book,Fashion,7,519.18,05-01-23,CUST-1258,Chris,customer60@example.com,-7149963686,"325 Street, City-35, State-20",09-01-23,Delivered,Flipkart,TRUE,7
FLI-966118,PID-6663,Watch,Accessories,10,111.41,06-01-23,CUST-5756,Alex,customer908@example.com,-8407511224,"188 Street, City-72, State-30",10-01-23,Delivered,Flipkart,TRUE,20
FLI-138107,PID-6229,Laptop,Fashion,10,806.15,07-01-23,CUST-9056,Sam,customer831@example.com,-8095847214,"266 Street, City-44, State-13",11-01-23,Cancelled,Flipkart,TRUE,14
FLI-673942,PID-1298,Headphones,Electronics,10,889.48,08-01-23,CUST-3469,Chris,customer910@example.com,-9915223562,"359 Street, City-89, State-5",12-01-23,In Transit,Flipkart,TRUE,17
FLI-323380,PID-9978,Book,Fashion,3,555.95,09-01-23,CUST-7397,Chris,customer21@example.com,-7459317056,"217 Street, City-35, State-15",13-01-23,Delivered,Flipkart,FALSE,26
FLI-405434,PID-8098,Watch,Books,2,523.91,10-01-23,CUST-3866,Sam,customer767@example.com,-7496754040,"484 Street, City-13, State-19",14-01-23,Delivered,Flipkart,TRUE,21
