OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,ResellerName,CommissionPercentage
MEE-426909,PID-5900,Phone,Electronics,5,915.15,2023-01-01,CUST-3075,Alex,customer173@example.com,+91-7428576899,"218 Street, City-74, State-18",2023-01-05,Cancelled,Meesho,Reseller3,8.1
MEE-772127,PID-4824,Book,Books,3,364.87,2023-01-02,CUST-9534,Taylor,customer24@example.com,+91-9412470021,"5 Street, City-62, State-13",2023-01-06,In Transit,Meesho,Reseller3,11.68
MEE-704201,PID-1796,Laptop,Books,4,961.36,2023-01-03,CUST-8895,Chris,customer379@example.com,+91-8772619444,"39 Street, City-89, State-11",2023-01-07,Delivered,Meesho,Reseller2,9.4
MEE-373572,PID-4347,Watch,Electronics,5,922.6,2023-01-04,CUST-2984,Jane,customer930@example.com,+91-8880383691,"490 Street, City-51, State-25",2023-01-08,In Transit,Meesho,Reseller3,11.31
MEE-474606,PID-6914,Headphones,Accessories,1,800.12,2023-01-05,CUST-1118,Alex,customer348@example.com,+91-7921528663,"411 Street, City-90, State-21",2023-01-09,In Transit,Meesho,Reseller1,6.58
MEE-516034,PID-4878,Headphones,Electronics,9,266.8,2023-01-06,CUST-2477,John,customer941@example.com,+91-8756196458,"426 Street, City-46, State-28",2023-01-10,Cancelled,Meesho,Reseller3,18.47
MEE-356539,PID-2319,Shoes,Books,10,885.13,2023-01-07,CUST-5404,Alex,customer76@example.com,+91-7731563223,"394 Street, City-50, State-28",2023-01-11,Cancelled,Meesho,Reseller2,5.42
MEE-143567,PID-5587,Headphones,Books,1,706.92,2023-01-08,CUST-6909,Alex,customer663@example.com,+91-7437403319,"39 Street, City-23, State-17",2023-01-12,Cancelled,Meesho,Reseller1,12.09
MEE-250875,PID-1953,Book,Books,9,954.54,2023-01-09,CUST-8778,Alex,customer303@example.com,+91-7721870979,"116 Street, City-72, State-23",2023-01-13,In Transit,Meesho,Reseller1,11.69
MEE-500921,PID-8197,Phone,Accessories,6,373.02,2023-01-10,CUST-5151,Chris,customer35@example.com,+91-8930247026,"285 Street, City-65, State-6",2023-01-14,Cancelled,Meesho,Reseller3,16.44
MEE-310976,PID-6608,Book,Electronics,6,350.5,2023-01-11,CUST-9381,Taylor,customer146@example.com,+91-9173987322,"291 Street, City-19, State-5",2023-01-15,Delivered,Meesho,Reseller1,13.94
MEE-910212,PID-5442,Shoes,Fashion,4,299.15,2023-01-12,CUST-4580,Taylor,customer340@example.com,+91-8604722130,"300 Street, City-55, State-25",2023-01-16,Delivered,Meesho,Reseller1,13.46
MEE-379884,PID-5108,Shoes,Books,1,761.73,2023-01-13,CUST-5240,Chris,customer752@example.com,+91-9010073136,"142 Street, City-85, State-2",2023-01-17,In Transit,Meesho,Reseller2,18.09
